url,depth,title,meta_description,meta_keywords,favicon,canonical_url,og_title,og_description,og_image,url_length,url_params_count,url_path_depth,internal_link_count,external_link_count,nofollow_link_count,empty_anchor_text_count,generic_anchor_text_count,keyword_rich_anchor_text_count,internal_external_ratio,total_link_count,js_files_count,css_files_count,image_count,font_count,video_count,audio_count,internal_resources_count,external_resources_count,word_count,content_size,crawl_timestamp,status_code
https://quotes.toscrape.com,0,Quotes to Scrape,,,,,,,,27,0,0,53,2,0,0,0,1,26.5,55,0,2,0,0,0,0,2,0,282,11064,2026-02-02T02:51:13.607313,200
https://quotes.toscrape.com/,1,Quotes to Scrape,,,,,,,,28,0,0,53,2,0,0,0,1,26.5,55,0,2,0,0,0,0,2,0,282,11064,2026-02-02T02:51:14.703103,200
https://quotes.toscrape.com/login,2,Quotes to Scrape,,,,,,,,33,0,1,2,2,0,0,0,1,1.0,4,0,2,0,0,0,0,2,0,17,1880,2026-02-02T02:51:15.766019,200
https://quotes.toscrape.com/author/Albert-Einstein,2,Quotes to Scrape,,,,,,,,50,0,2,2,2,0,0,0,1,1.0,4,0,2,0,0,0,0,2,0,630,5335,2026-02-02T02:51:17.403527,200
https://quotes.toscrape.com/tag/change/page/1/,2,Quotes to Scrape,,,,,,,,46,0,4,18,2,0,0,0,1,9.0,20,0,2,0,0,0,0,2,0,61,3862,2026-02-02T02:51:18.371824,200
https://quotes.toscrape.com/tag/deep-thoughts/page/1/,2,Quotes to Scrape,,,,,,,,53,0,4,18,2,0,0,0,1,9.0,20,0,2,0,0,0,0,2,0,61,3876,2026-02-02T02:51:19.438273,200
https://quotes.toscrape.com/tag/thinking/page/1/,2,Quotes to Scrape,,,,,,,,48,0,4,22,2,0,0,0,1,11.0,24,0,2,0,0,0,0,2,0,93,4698,2026-02-02T02:51:20.402342,200
https://quotes.toscrape.com/tag/world/page/1/,2,Quotes to Scrape,,,,,,,,45,0,4,18,2,0,0,0,1,9.0,20,0,2,0,0,0,0,2,0,61,3860,2026-02-02T02:51:21.450316,200
https://quotes.toscrape.com/author/J-K-Rowling,2,Quotes to Scrape,,,,,,,,46,0,2,2,2,0,0,0,1,1.0,4,0,2,0,0,0,0,2,0,659,5354,2026-02-02T02:51:23.065479,200
https://quotes.toscrape.com/tag/abilities/page/1/,2,Quotes to Scrape,,,,,,,,49,0,4,16,2,0,0,0,1,8.0,18,0,2,0,0,0,0,2,0,54,3649,2026-02-02T02:51:24.141649,200
https://quotes.toscrape.com/tag/choices/page/1/,2,Quotes to Scrape,,,,,,,,47,0,4,16,2,0,0,0,1,8.0,18,0,2,0,0,0,0,2,0,54,3645,2026-02-02T02:51:25.215186,200
https://quotes.toscrape.com/tag/inspirational/page/1/,2,Quotes to Scrape,,,,,,,,53,0,4,59,2,0,0,1,1,29.5,61,0,2,0,0,0,0,2,0,494,12826,2026-02-02T02:51:26.301996,200
https://quotes.toscrape.com/tag/life/page/1/,2,Quotes to Scrape,,,,,,,,44,0,4,59,2,0,0,0,1,29.5,61,0,2,0,0,0,0,2,0,508,12659,2026-02-02T02:51:27.417114,200
https://quotes.toscrape.com/tag/live/page/1/,2,Quotes to Scrape,,,,,,,,44,0,4,19,2,0,0,0,1,9.5,21,0,2,0,0,0,0,2,0,67,3953,2026-02-02T02:51:28.494514,200
https://quotes.toscrape.com/tag/miracle/page/1/,2,Quotes to Scrape,,,,,,,,47,0,4,19,2,0,0,0,1,9.5,21,0,2,0,0,0,0,2,0,67,3959,2026-02-02T02:51:29.558726,200
https://quotes.toscrape.com/tag/miracles/page/1/,2,Quotes to Scrape,,,,,,,,48,0,4,19,2,0,0,0,1,9.5,21,0,2,0,0,0,0,2,0,67,3961,2026-02-02T02:51:30.628502,200
https://quotes.toscrape.com/author/Jane-Austen,2,Quotes to Scrape,,,,,,,,46,0,2,2,2,0,0,0,1,1.0,4,0,2,0,0,0,0,2,0,342,3415,2026-02-02T02:51:32.263542,200
https://quotes.toscrape.com/tag/aliteracy/page/1/,2,Quotes to Scrape,,,,,,,,49,0,4,18,2,0,0,0,1,9.0,20,0,2,0,0,0,0,2,0,59,3831,2026-02-02T02:51:33.321382,200
https://quotes.toscrape.com/tag/books/page/1/,2,Quotes to Scrape,,,,,,,,45,0,4,62,2,0,0,0,1,31.0,64,0,2,0,0,0,0,2,0,339,11929,2026-02-02T02:51:34.380931,200
https://quotes.toscrape.com/tag/classic/page/1/,2,Quotes to Scrape,,,,,,,,47,0,4,22,2,0,0,0,1,11.0,24,0,2,0,0,0,0,2,0,77,4579,2026-02-02T02:51:35.436325,200
https://quotes.toscrape.com/tag/humor/page/1/,2,Quotes to Scrape,,,,,,,,45,0,4,50,2,0,0,0,1,25.0,52,0,2,0,0,0,0,2,0,294,10679,2026-02-02T02:51:36.507738,200
https://quotes.toscrape.com/author/Marilyn-Monroe,2,Quotes to Scrape,,,,,,,,49,0,2,2,2,0,0,0,1,1.0,4,0,2,0,0,0,0,2,0,391,3667,2026-02-02T02:51:38.134241,200
https://quotes.toscrape.com/tag/be-yourself/page/1/,2,Quotes to Scrape,,,,,,,,51,0,4,16,2,0,0,0,1,8.0,18,0,2,0,0,0,0,2,0,54,3712,2026-02-02T02:51:39.227354,200
https://quotes.toscrape.com/tag/adulthood/page/1/,2,Quotes to Scrape,,,,,,,,49,0,4,17,2,0,0,0,1,8.5,19,0,2,0,0,0,0,2,0,53,3720,2026-02-02T02:51:40.294748,200
https://quotes.toscrape.com/tag/success/page/1/,2,Quotes to Scrape,,,,,,,,47,0,4,17,2,0,0,0,1,8.5,19,0,2,0,0,0,0,2,0,53,3716,2026-02-02T02:51:41.249942,200
https://quotes.toscrape.com/tag/value/page/1/,2,Quotes to Scrape,,,,,,,,45,0,4,17,2,0,0,0,1,8.5,19,0,2,0,0,0,0,2,0,53,3712,2026-02-02T02:51:42.387497,200
https://quotes.toscrape.com/author/Andre-Gide,2,Quotes to Scrape,,,,,,,,45,0,2,2,2,0,0,0,1,1.0,4,0,2,0,0,0,0,2,0,182,2421,2026-02-02T02:51:44.038772,200
https://quotes.toscrape.com/tag/love/page/1/,2,Quotes to Scrape,,,,,,,,44,0,4,55,2,0,0,1,1,27.5,57,0,2,0,0,0,0,2,0,683,13256,2026-02-02T02:51:45.096701,200
https://quotes.toscrape.com/author/Thomas-A-Edison,2,Quotes to Scrape,,,,,,,,50,0,2,2,2,0,0,0,1,1.0,4,0,2,0,0,0,0,2,0,210,2652,2026-02-02T02:51:46.762742,200
https://quotes.toscrape.com/tag/edison/page/1/,2,Quotes to Scrape,,,,,,,,46,0,4,18,2,0,0,0,1,9.0,20,0,2,0,0,0,0,2,0,53,3836,2026-02-02T02:51:47.860002,200
https://quotes.toscrape.com/tag/failure/page/1/,2,Quotes to Scrape,,,,,,,,47,0,4,18,2,0,0,0,1,9.0,20,0,2,0,0,0,0,2,0,53,3838,2026-02-02T02:51:48.914006,200
https://quotes.toscrape.com/tag/paraphrased/page/1/,2,Quotes to Scrape,,,,,,,,51,0,4,21,2,0,0,0,1,10.5,23,0,2,0,0,0,0,2,0,77,4619,2026-02-02T02:51:49.959860,200
https://quotes.toscrape.com/author/Eleanor-Roosevelt,2,Quotes to Scrape,,,,,,,,52,0,2,2,2,0,0,0,1,1.0,4,0,2,0,0,0,0,2,0,251,2783,2026-02-02T02:51:51.611919,200
https://quotes.toscrape.com/tag/misattributed-eleanor-roosevelt/page/1/,2,Quotes to Scrape,,,,,,,,71,0,4,15,2,0,0,0,1,7.5,17,0,2,0,0,0,0,2,0,56,3686,2026-02-02T02:51:52.712563,200
https://quotes.toscrape.com/author/Steve-Martin,2,Quotes to Scrape,,,,,,,,47,0,2,2,2,0,0,0,1,1.0,4,0,2,0,0,0,0,2,0,148,2219,2026-02-02T02:51:54.386008,200
https://quotes.toscrape.com/tag/obvious/page/1/,2,Quotes to Scrape,,,,,,,,47,0,4,17,2,0,0,0,1,8.5,19,0,2,0,0,0,0,2,0,48,3684,2026-02-02T02:51:55.455568,200
https://quotes.toscrape.com/tag/simile/page/1/,2,Quotes to Scrape,,,,,,,,46,0,4,24,2,0,0,0,1,12.0,26,0,2,0,0,0,0,2,0,84,5092,2026-02-02T02:51:56.482509,200
